"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9914","positive","webkit","Fri Nov 14 17:12:39 BDT 2025","passed","Fri Nov 14 17:12:49 BDT 2025","","test.spec.ts","",""
"","6175","Negative: create article with empty field","webkit","Fri Nov 14 17:12:44 BDT 2025","passed","Fri Nov 14 17:12:50 BDT 2025","","test.spec.ts","",""
"","12895","Update_Delete_filter via create article API","chromium","Fri Nov 14 17:11:59 BDT 2025","passed","Fri Nov 14 17:12:12 BDT 2025","","test.spec.ts","",""
"","16093","positive","firefox","Fri Nov 14 17:12:13 BDT 2025","passed","Fri Nov 14 17:12:29 BDT 2025","","test.spec.ts","",""
"","16169","Update_Delete_filter via create article API","webkit","Fri Nov 14 17:12:40 BDT 2025","passed","Fri Nov 14 17:12:56 BDT 2025","","test.spec.ts","",""
"","2154","Negative: update profile with large invalid url","firefox","Fri Nov 14 17:12:26 BDT 2025","passed","Fri Nov 14 17:12:28 BDT 2025","","test.spec.ts","",""
"","7380","positive","chromium","Fri Nov 14 17:11:59 BDT 2025","passed","Fri Nov 14 17:12:07 BDT 2025","","test.spec.ts","",""
"","3343","Negative: update profile with large invalid url","webkit","Fri Nov 14 17:12:55 BDT 2025","passed","Fri Nov 14 17:12:58 BDT 2025","","test.spec.ts","",""
"","13929","Update_Delete_filter via create article API","firefox","Fri Nov 14 17:12:13 BDT 2025","passed","Fri Nov 14 17:12:27 BDT 2025","","test.spec.ts","",""
"","3219","Negative: create article with empty field","chromium","Fri Nov 14 17:11:59 BDT 2025","passed","Fri Nov 14 17:12:02 BDT 2025","","test.spec.ts","",""
"","1975","Negative: update profile with large invalid url","chromium","Fri Nov 14 17:11:59 BDT 2025","passed","Fri Nov 14 17:12:01 BDT 2025","","test.spec.ts","",""
"","3428","Negative: create article with empty field","firefox","Fri Nov 14 17:12:21 BDT 2025","passed","Fri Nov 14 17:12:25 BDT 2025","","test.spec.ts","",""
